All Races,From Northeast to,,,From Midwest to,,,From South to,,,From West to,,
, Midwest,South,West,Northeast,South,West,Northeast, Midwest,West,Northeast, Midwest,South
Total 1+ years,83,405,127,72,364,204,183,416,432,108,223,489
,,,,,,,,,,,,
1 to 4 years,12,22,8,5,30,9,11,33,40,5,15,53
5 to 9 years,17,25,8,3,42,10,6,40,41,2,10,49
10 to 14 years,2,24,7,3,43,13,7,44,23,3,19,32
15 to 19 years,2,42,6,14,19,11,15,41,21,1,23,35
20 to 24 years,10,69,33,4,33,33,23,60,56,26,13,53
25 to 29 years,12,65,13,20,33,29,39,57,69,30,20,66
30 to 44 years,25,72,20,16,99,39,48,97,118,23,58,134
45 to 64 years,2,51,11,8,48,46,30,22,45,11,33,54
65 to 74 years,.,24,8,.,13,6,3,12,8,1,18,6
75+ years,2,10,13,.,5,8,2,11,10,4,12,7
,,,,,,,,,,,,
Male,40,203,68,32,182,91,87,189,215,45,113,238
Female,43,202,59,40,182,113,95,228,217,63,110,251
,,,,,,,,,,,,
"Householder, spouse present",14,56,15,9,67,33,31,52,77,11,28,71
Other family householder,2,21,1,1,13,9,2,38,10,5,13,31
Non family householder,10,85,32,11,37,56,40,55,51,37,46,60
Spouse,16,57,17,9,69,36,32,52,87,10,27,80
Child of householder,25,94,29,19,119,42,52,127,138,15,59,175
Other relative,12,48,4,21,16,6,12,47,37,12,25,37
Non-relative,3,45,28,3,43,22,14,44,33,17,24,34
,,,,,,,,,,,,
"Married, spouse present",32,119,32,31,139,73,70,105,164,21,64,161
"Married, spouse absent",2,12,.,.,7,3,1,7,7,3,2,13
Widowed,2,17,9,3,8,7,7,16,5,4,10,3
Divorced,4,21,7,4,29,25,14,41,34,9,31,48
Separated,3,11,1,0,7,7,6,17,10,3,2,20
Never Married,9,154,55,24,59,58,61,112,108,57,68,110
NIU (under 15 years),30,70,23,11,115,32,24,118,104,10,44,134
,,,,,,,,,,,,
"Grades 9-12, no diploma",3,35,4,.,15,8,13,25,19,10,23,23
High school graduate,17,80,7,12,47,49,29,64,51,19,30,84
Some college or AA degree,10,46,17,5,46,23,26,56,59,4,32,77
Bachelor's degree,8,34,11,15,53,29,39,41,90,22,47,62
Prof. or graduate degree,3,28,26,12,37,19,14,11,31,13,10,21
Under 25 years old,42,182,62,28,166,76,61,218,182,38,81,222
,,,,,,,,,,,,
In an Owner-Occupied Unit,31,124,42,33,164,47,87,153,149,34,100,224
In a Renter-Occupied Unit,52,281,85,39,200,157,95,263,283,74,123,264
