Selected Characteristics,From Northeast to,,,From Midwest to,,,From South to,,,From West to,,
, Midwest,South,West,Northeast,South,West,Northeast, Midwest,West,Northeast, Midwest,South
Total 16+ years,58,257,77,50,305,193,147,246,303,97,145,233
,,,,,,,,,,,,
.Without income,2,24,3,2,26,13,17,22,40,11,19,23
".Under $10,000 or loss",23,50,20,9,75,40,27,47,70,24,37,46
".$10,000 to $19,999",7,58,17,5,59,34,18,56,70,32,31,53
".$20,000 to $29,999",9,28,13,10,49,30,17,50,34,15,17,29
".$30,000 to $39,999",-,33,12,2,27,24,11,11,20,7,15,35
".$40,000 to $49,999",3,13,-,9,7,7,15,23,34,-,3,12
".$50,000 to $59,999",3,13,1,2,17,12,6,12,7,1,4,12
".$60,000 to $74,999",5,11,1,6,18,7,3,7,9,-,11,13
".$75,000 and over",5,28,11,5,27,27,23,19,18,7,6,11
,,,,,,,,,,,,
Employed,32,133,41,33,190,112,92,157,165,55,79,130
Unemployed,2,12,10,3,31,16,8,17,32,5,9,21
Armed Forces,1,3,5,-,4,5,1,4,18,4,1,15
Not in labor force,23,109,22,13,81,59,46,68,88,32,55,67
,,,,,,,,,,,,
"Management, business, and financial",5,29,3,9,19,23,19,19,10,8,10,15
Professional,13,40,19,11,50,33,37,40,38,6,17,34
Service,3,20,9,6,44,11,15,35,34,16,14,24
Sales,1,11,4,1,16,13,4,7,19,-,11,23
Office and Administrative support,7,15,3,4,24,9,10,9,17,16,5,7
"Farming, fishing, and forestry",-,-,-,-,-,1,-,-,-,-,-,-
Construction and extraction ,-,6,-,1,8,10,3,24,30,3,7,6
"Installation, maintenance, and repair",-,-,-,1,6,-,-,1,6,2,3,10
Production,3,2,-,-,13,1,1,12,5,1,7,4
Transportation and material moving,-,11,3,-,10,11,3,10,6,2,6,6
Not employed civilian,26,123,37,17,115,81,55,89,138,42,66,103
,,,,,,,,,,,,
"Agricultural, forestry, fishing, and hunting ",-,-,-,-,-,4,-,1,-,-,-,-
Mining,-,1,-,-,-,-,-,-,15,-,-,3
Construction,-,13,-,1,15,9,3,28,13,5,12,6
Manufacturing,3,14,5,3,29,7,11,15,5,2,13,18
Wholesale and retail trade,5,24,4,4,26,17,8,12,24,7,10,12
Transportation and utililites,-,5,-,-,11,4,1,4,11,4,2,6
Information,1,7,1,1,3,12,4,5,6,2,4,6
"Finance, insur, and real estate",6,7,1,3,2,4,3,14,14,-,2,2
Professional and business services,6,21,5,3,18,21,12,9,16,10,12,11
Educational and health services,6,22,8,13,36,16,30,39,26,10,11,34
Leisure and hospitality,3,3,14,2,33,12,13,19,24,13,7,18
Other services,2,8,3,2,12,6,7,11,7,1,3,11
Public administration,-,9,-,1,6,1,2,1,5,-,2,4
Not employed civilian,26,123,37,17,115,81,55,89,138,42,66,103
