All races,From Northeast to,,,From Midwest to,,,From South to,,,From West to,,
, Midwest,South,West,Northeast,South,West,Northeast, Midwest,West,Northeast, Midwest,South
Total 1+ years,58,454,96,70,430,202,194,350,350,64,159,313
,,,,,,,,,,,,
1 to 4 years,-,39,5,6,24,13,29,31,26,9,11,29
5 to 9 years,1,41,12,10,45,3,17,27,39,7,13,24
10 to 14 years,4,28,1,6,35,13,9,29,17,2,12,17
15 to 19 years,5,22,6,-,28,20,6,17,19,-,12,25
20 to 24 years,6,48,13,6,78,57,34,51,46,-,16,49
25 to 29 years,13,60,15,16,62,20,22,40,42,11,15,28
30 to 44 years,21,122,33,19,95,56,45,82,92,30,54,77
45 to 64 years,8,70,11,3,49,18,31,53,56,4,21,47
65 to 74 years,-,9,1,-,9,2,-,17,2,-,3,11
75+ years,-,14,-,3,5,-,2,3,10,-,1,6
,,,,,,,,,,,,
Male,27,219,44,46,218,112,107,168,181,35,75,161
Female,31,235,52,24,211,90,87,182,169,29,83,152
,,,,,,,,,,,,
"Householder, spouse present",11,87,17,10,77,27,13,51,58,11,19,58
Other family householder,6,28,1,6,23,6,17,31,17,1,9,13
Nonfamily householder,9,61,18,13,74,52,42,66,49,9,29,35
Spouse,12,86,17,9,73,26,15,51,56,11,19,57
Child of householder,10,139,21,15,135,45,67,99,105,18,51,89
Other relative,5,24,9,1,16,27,18,15,32,13,14,40
Nonrelative,5,29,13,15,32,19,21,38,33,-,18,21
,,,,,,,,,,,,
"Married, spouse present",23,175,37,20,153,55,32,105,114,22,41,121
"Married, spouse absent",4,12,3,-,11,8,3,10,7,-,7,7
Widowed,-,9,3,-,5,-,5,10,7,-,3,10
Divorced,-,30,4,3,31,21,11,36,38,8,18,17
Separated,7,8,4,-,5,5,6,7,4,-,1,6
Never married,19,112,27,25,118,84,81,95,97,15,53,82
NIU (ages 1-14 years),5,108,18,22,105,29,55,87,83,19,37,70
,,,,,,,,,,,,
"Grades 9-12, no diploma",3,41,-,-,23,11,16,19,23,-,11,8
High school graduate,1,73,12,7,60,22,22,39,61,7,30,17
Some college or AA degree,9,74,6,4,43,24,13,72,44,12,26,79
Bachelor's degree,17,62,22,3,53,27,29,33,46,15,15,34
Prof. or graduate degree,12,26,20,28,40,12,19,32,29,11,12,31
NIU (ages 1-24 years),16,178,37,29,211,106,95,155,147,19,65,144
,,,,,,,,,,,,
In an owner-occupied unit,27,231,37,26,130,43,86,93,78,41,57,186
In a renter-occupied unit,31,223,59,44,299,160,108,257,272,23,102,127
