Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,,,,
"Table 13.  Migration Flows Between Regions, by Sex, Age, Race and Hispanic Origin, Relationship to Householder, Educational Attainment, Marital Status, Nativity, Tenure, and Poverty Status:  2010 to 2011",,,,,,,,,,,,
(Numbers in thousands.),,,,,,,,,,,,
(leading dot indicates sub-part),,,,,,,,,,,,
United States,From Northeast to,,,From Midwest to,,,From South to,,,From West to,,
, Midwest,South,West,Northeast,South,West,Northeast, Midwest,West,Northeast, Midwest,South
TOTAL 1+ years,127,307,90,29,324,141,188,257,385,31,153,424
,,,,,,,,,,,,
SEX,,,,,,,,,,,,
.Male,64,144,51,9,157,71,104,120,190,18,85,223
.Female,62,163,39,20,167,70,84,137,195,12,68,202
AGE,,,,,,,,,,,,
.1 to 4 years,6,18,4,2,37,2,12,20,39,3,14,39
.5 to 9 years,4,28,6,1,40,6,19,14,25,-,9,25
.10 to 14 years,5,36,6,2,24,8,15,19,25,-,10,18
.15 to 19 years,6,15,4,-,8,11,6,18,23,2,4,13
.20 to 24 years,24,37,1,8,31,12,37,43,38,3,17,40
.25 to 29 years,21,34,16,3,31,17,38,50,84,13,28,64
.30 to 44 years,11,82,29,3,83,36,35,47,82,9,40,116
.45 to 64 years,45,44,20,7,49,21,26,44,43,-,22,66
.65 to 74 years,2,9,4,3,10,22,-,2,8,-,5,29
.75+ years,2,4,-,-,12,5,-,2,19,-,4,14
RACE AND HISPANIC ORIGIN,,,,,,,,,,,,
.White alone,110,137,56,22,256,132,172,179,320,25,110,365
.Black or African American alone,3,149,6,4,43,9,11,46,16,2,12,29
.Asian alone,11,20,23,3,13,-,3,13,25,3,15,7
.All remaining single races and all race combinations/1,3,-,5,-,12,-,2,20,24,-,15,24
".White alone, not Hispanic or Latino",101,130,56,21,241,103,154,170,236,24,86,312
.Hispanic or Latino/2,9,16,-,1,20,29,19,15,88,1,27,54
.White alone or in combination with one or more other races,112,137,56,22,265,132,174,182,337,25,120,381
.Black or African American alone or in combination with one or more other races,3,149,7,4,50,9,11,55,26,2,19,33
.Asian alone or in combination with one or more other races,13,21,23,3,13,-,4,15,30,3,18,9
RELATIONSHIP TO HOUSEHOLDER,,,,,,,,,,,,
".Householder, spouse present",23,43,10,5,58,21,29,40,65,4,22,95
.Other family householder,8,24,6,-,15,2,6,19,20,3,6,16
.Spouse of householder,21,42,10,5,47,22,29,40,60,4,19,90
.Child of householder,32,96,22,9,91,27,61,78,119,10,39,97
.Other relative of householder,2,29,1,-,26,10,15,15,29,-,12,24
.Nonrelative of householder,14,31,18,1,37,35,15,28,28,2,25,33
.Nonfamily householder,28,42,24,8,50,25,33,38,64,6,29,69
.Secondary individual in group quarters,-,-,-,-,-,-,-,-,-,-,1,-
EDUCATIONAL ATTAINMENT,,,,,,,,,,,,
.Not a high school graduate,5,13,2,-,11,12,-,13,33,-,8,24
.High school graduate,14,34,8,4,52,17,29,33,49,6,19,73
.Some college or AA degree,20,58,21,5,44,26,9,41,58,5,31,98
.Bachelor's degree,29,35,26,1,51,27,27,32,70,4,15,58
.Prof. or graduate degree,13,34,11,5,27,20,34,25,27,7,25,35
.Persons age 1-24,45,134,22,13,139,39,88,113,150,8,54,136
MARITAL STATUS,,,,,,,,,,,,
".Married, spouse present",44,93,20,11,115,42,62,90,136,9,44,187
".Married, spouse absent",3,8,10,-,8,-,-,5,7,4,-,11
.Widowed,3,-,-,6,7,10,-,3,9,-,8,3
.Divorced,8,18,5,1,25,22,9,20,27,1,17,54
.Separated,-,11,2,-,3,2,1,5,14,-,2,1
.Never married,53,96,37,5,66,48,71,82,105,13,48,86
.Persons age 1-14,16,82,17,5,100,17,46,53,89,4,33,83
NATIVITY,,,,,,,,,,,,
 .Native,101,273,63,23,297,120,173,240,325,24,130,395
 .Foreign born,26,34,27,6,27,20,15,18,61,6,23,30
  ..Naturalized U.S. citizen,4,14,12,-,15,2,3,3,18,4,9,15
  ..Not a U.S. citizen,22,20,15,6,12,19,13,15,43,2,14,15
TENURE,,,,,,,,,,,,
.In an owner-occupied housing unit,55,113,25,12,125,35,69,85,74,10,51,139
.In a renter-occupied housing unit,70,189,63,14,195,106,109,169,297,20,98,263
.In a no cash renter-occupied housing unit,1,6,3,2,4,-,10,4,15,1,4,22
POVERTY STATUS,,,,,,,,,,,,
.Below 100% of poverty,25,92,34,2,60,21,28,68,79,2,28,75
.100% to 149% of poverty,3,45,12,-,21,17,15,10,73,4,18,30
.150% of poverty and above,98,170,44,26,243,103,145,179,233,24,107,320
Footnotes:,,,,,,,,,,,,
"1/  Includes American Indian and Alaska Native alone, Native Hawaiian and Other Pacific Islander alone, and Two or More Races.",,,,,,,,,,,,
2/  Hispanics or Latinos may be of any race.,,,,,,,,,,,,
"""-"" Represents zero or rounds to zero.",,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2011 Annual Social and Economic Supplement",,,,,,,,,,,,
Internet Release Date: November 2011,,,,,,,,,,,,
