United States,From Northeast to,,,From Midwest to,,,From South to,,,From West to,,
, Midwest,South,West,Northeast,South,West,Northeast, Midwest,West,Northeast, Midwest,South
TOTAL 16+ years,45,261,119,42,263,168,194,199,194,86,105,295
INCOME IN 2014,,,,,,,,,,,,
.Without income,1,21,5,1,33,6,34,19,12,9,10,34
".Under $10,000 or loss",5,54,15,5,37,26,36,35,42,15,24,53
".$10,000 to $19,999",12,46,19,9,49,29,23,37,38,8,20,53
".$20,000 to $29,999",10,33,18,2,25,23,33,30,31,9,7,34
".$30,000 to $39,999",-,26,15,1,21,24,21,12,14,12,12,27
".$40,000 to $49,999",6,9,8,6,19,15,9,18,12,10,9,23
".$50,000 to $59,999",1,21,6,-,20,11,13,16,8,8,1,16
".$60,000 to $74,999",-,17,4,2,15,7,13,11,17,3,2,25
".$75,000 and over",10,35,27,15,44,29,13,21,19,12,22,30
LABOR FORCE STATUS,,,,,,,,,,,,
.Employed (civilian),33,159,85,32,130,119,111,141,108,35,62,147
.Unemployed,-,17,3,1,22,9,18,10,14,5,10,28
.Armed Forces/1,-,5,-,-,5,1,5,1,11,-,-,21
.Not in labor force,12,80,30,8,106,38,60,46,61,45,33,100
MAJOR OCCUPATION,,,,,,,,,,,,
".Management, business, and financial",9,22,15,4,25,25,29,24,18,1,14,13
.Professional,12,55,29,13,38,46,32,38,48,15,15,46
.Service,2,22,10,-,6,8,17,22,9,7,9,13
.Sales,5,23,6,12,19,14,7,14,13,8,3,13
.Office and administrative support,3,13,11,-,14,17,9,17,10,2,10,21
".Farming, fishing, and forestry",-,-,-,-,4,-,-,-,1,-,1,-
.Construction and extraction ,1,6,8,-,10,5,6,8,7,-,2,22
".Installation, maintenance, and repair",-,6,2,1,1,-,-,3,-,-,-,12
.Production,-,6,2,2,1,2,6,5,-,3,2,1
.Transportation and material moving,1,5,3,-,11,3,6,11,1,1,5,5
.Armed Forces or not employed civilian/1,12,102,33,9,133,48,83,58,86,51,42,148
MAJOR INDUSTRY,,,,,,,,,,,,
".Agricultural, forestry, fishing, and hunting ",-,7,-,-,4,2,-,-,1,-,1,-
.Mining,-,1,-,-,1,1,-,-,-,-,-,-
.Construction,1,9,7,1,9,3,7,5,6,-,-,23
.Manufacturing,-,8,7,-,8,7,18,28,3,3,12,9
.Wholesale and retail trade,4,14,3,6,13,15,7,19,10,13,17,21
.Transportation and utilities,-,13,3,4,4,4,-,-,4,1,-,5
.Information,-,6,4,-,1,-,-,8,1,3,3,1
.Financial activities,5,13,8,8,18,11,1,12,6,-,-,6
.Professional and business services,6,12,20,3,22,27,21,21,32,3,14,16
.Educational and health services,16,38,17,6,25,33,37,31,26,5,9,33
.Leisure and hospitality,2,19,13,4,10,13,18,11,16,2,2,20
.Other services,-,16,4,1,2,2,-,3,-,5,1,9
.Public administration,-,2,-,-,11,1,-,1,2,-,3,5
.Armed Forces or not employed civilian/1,12,102,33,9,133,48,83,58,86,51,42,148
