Characteristic,Total,Change in marital status,To establish own household,Other family resaon,New job or job transfer,To look for work or lost job,To be closer to work/easier commute,Retired,Other job related reason,"Wanted own home, not rent",Wanted new or better home/ apartment,Wanted better neighborhood/ less crime,Wanted cheaper housing,Other housing reason,To attend or leave college,Change of climate,Health reasons,Other reasons
TOTAL,"39,006","2,330","2,943","5,337","4,023",805,"1,215",224,434,"3,942","6,871","1,540","2,135","4,205","1,183",216,520,"1,084"
SEX,,,,,,,,,,,,,,,,,,
.Male,"19,211","1,070","1,352","2,539","2,162",489,628,109,229,"1,919","3,416",796,"1,008","1,953",615,130,222,573
.Female,"19,796","1,260","1,591","2,798","1,861",316,587,115,205,"2,024","3,454",744,"1,127","2,251",567,86,298,511
AGE,,,,,,,,,,,,,,,,,,
.Under 16 years,"9,552",427,578,"1,726",982,177,223,17,65,"1,019","1,792",477,515,"1,131",85,19,65,254
.16 to 19 years,"2,302",120,276,435,155,50,46,14,11,154,313,88,112,251,194,7,21,56
.20 to 24 years,"6,088",353,793,751,565,143,219,1,111,323,"1,009",128,360,608,496,14,25,187
.25 to 29 years,"5,450",319,482,562,714,148,207,-,135,541,889,187,295,511,260,25,35,139
.30 to 44 years,"9,718",682,562,964,"1,168",223,349,24,68,"1,307","1,902",428,514,957,136,50,95,288
.45 to 64 years,"4,630",377,210,639,427,57,156,121,40,535,801,194,239,559,11,43,100,122
.65 to 74 years,742,39,26,112,8,8,10,39,2,52,125,27,63,115,-,32,66,18
.75+ years,525,12,16,148,5,1,5,7,1,12,41,11,36,73,-,26,112,21
RACE/ETHNICITY,,,,,,,,,,,,,,,,,,
".White, non-Hispanic","24,054","1,604","1,671","3,116","2,901",285,864,192,295,"2,480","4,154",827,"1,145","2,456",836,165,407,656
.Black,"5,896",245,551,905,371,88,140,9,33,434,"1,127",313,373,900,101,23,43,240
".Hispanic, any race","6,258",347,552,988,415,419,127,-,65,705,"1,149",243,396,557,93,27,43,133
.Asian/Pacific Islander,"2,244",102,112,234,305,8,71,18,31,282,351,141,184,211,142,1,6,45
.American Indian/Aleut Eskimo,553,32,56,94,30,5,13,5,11,41,90,15,37,81,11,-,20,10
EDUCATION,,,,,,,,,,,,,,,,,,
