CITY NAME,2010,2011,2012,2013,2014,2015, long, lat
"Abilene city, Texas",117794,118760,119985,119938,120803,121721,-87.6297982,41.8781136
"Akron city, Ohio",198972,198969,198704,198309,198099,197542,-112.0740373,33.4483771
"Alameda city, California",73969,74778,75785,76684,77752,78630,-95.3698028,29.7604267
"Albany city, Georgia",77473,77788,77511,76347,75863,74843,-82.99879419999999,39.9611755,
"Albany city, New York",97733,98033,98527,98715,98665,98469,-96.79698789999999, 32.7766642
"Albany city, Oregon",50370,51065,51276,51274,51754,52175,-122.4194155, 37.7749295
"Albuquerque city, New Mexico",547092,551723,554888,556880,557894,559121,-74.0059413, 40.7127837
"Alexandria city, Virginia",140833,144579,147227,149819,151440,153511,-81.65565099999999, 30.3321838
"Alhambra city, California",83172,83755,84409,84775,85368,85551,-86.1349019, 40.2671941
"Aliso Viejo city, California",48205,48950,49590,50160,50211,50195,-97.7430608, 30.267153
"Allen city, Texas",84950,87792,89995,92337,94262,98143,-97.3307658, 32.7554883
"Allentown city, Pennsylvania",118191,118877,119052,118919,119268,120207,-121.8863286, 37.3382082
"Alpharetta city, Georgia",57820,59417,61968,62209,63055,63693,-117.1610838, 32.715738
"Amarillo city, Texas",191335,193972,195754,196746,197786,198645,-75.1652215, 39.9525839
"Ames city, Iowa",59056,60307,61325,62876,64513,65060,-98.49362819999999, 29.4241219
"Anaheim city, California",337257,340801,343540,345738,346847,350742,-80.8431267, 35.2270869
"Anchorage municipality, Alaska",293405,296333,298613,301537,300357,298695,-104.990251, 39.7392358
"Anderson city, Indiana",56167,55906,55582,55632,55498,55305,-90.0489801, 35.1495343
"Ankeny city, Iowa",45884,47113,48950,51378,53299,56764,-86.7816016, 36.1626638
"Ann Arbor city, Michigan",114030,115208,115648,116209,116899,117070,-106.4850217, 31.7618778
"Antioch city, California",103118,104310,105736,107602,109359,110542,-71.0588801, 42.3600825
"Apple Valley city, Minnesota",49139,49783,49953,50194,50445,51221,-83.0457538, 42.331427
"Apple Valley town, California",69327,70133,70580,71000,71517,72174,-122.6764816, 45.5230622
"Appleton city, Wisconsin",72657,72854,73096,73569,73961,74139,-122.3320708, 47.6062095
"Arcadia city, California",56412,56784,57077,57597,57992,58408,-76.6121893, 39.2903848
"Arlington city, Texas",366201,370827,376325,379781,383514,388125,-97.5164276, 35.4675602
"Arlington Heights village, Illinois",75178,75407,75783,76009,76057,75926,-77.0368707, 38.9071923
"Arvada city, Colorado",106697,107652,109790,111698,113744,115368,-106.6055534, 35.0853336
"Asheville city, North Carolina",83522,84673,85793,87007,87812,88512,-78.6381787, 35.7795897
"Athens-Clarke County unified government (balance), Georgia",116215,117205,118951,119840,119526,122604,-121.4943996, 38.5815719
"Atlanta city, Georgia",422753,432092,444002,448312,456143,463878,-110.926479, 32.2217429
"Auburn city, Alabama",53746,54959,56994,58865,60562,62059,-119.7725868, 36.7468422
"Auburn city, Washington",70400,71575,73278,74778,75928,77006,-118.1937395, 33.7700504
"Augusta-Richmond County consolidated government (balance), Georgia",196222,195828,197156,196496,196526,197182,-94.5785667, 39.0997265
"Aurora city, Colorado",326050,332744,339188,345634,352706,359407,-115.1398296, 36.1699412
"Aurora city, Illinois",198190,199292,199826,200117,200543,200661,-95.99798829999999, 41.2523634
"Austin city, Texas",815974,839168,865184,886406,912713,931830,-111.8314724, 33.4151843
"Avondale city, Arizona",76232,76967,78121,78920,79711,80684,-104.8213634, 38.8338816
"Bakersfield city, California",348930,353581,358106,363956,368694,373640,-87.9064736, 43.0389025
"Baldwin Park city, California",75446,75905,76455,76770,76909,77071,-75.97798499999999, 36.8529263
"Baltimore city, Maryland",621180,620792,622705,623215,623711,621849,-95.99277500000001, 36.1539816
"Bartlett city, Tennessee",57018,57350,58177,58155,58265,58579,-85.7584557, 38.2526647
"Baton Rouge city, Louisiana",229602,228958,229997,229422,229007,228590,-122.2711137, 37.8043637
"Battle Creek city, Michigan",52298,52038,51866,51808,51813,51589,-97.33005299999999, 37.68717609999999
"Bayonne city, New Jersey",63112,64213,64695,65378,66289,66311,-93.2650108, 44.977753
"Baytown city, Texas",72052,72824,73590,75600,76138,76335,-90.0715323, 29.95106579999999
"Beaumont city, Texas",117371,117814,116904,117962,117595,118129,-81.6943605, 41.49932
"Beaverton city, Oregon",90195,91461,92740,93693,95251,96577,-117.8678338, 33.7455731
"Bellevue city, Nebraska",51753,52443,53352,54195,54772,55510,-80.1917902, 25.7616798
"Bellevue city, Washington",128337,130305,132283,134126,136596,139820,-97.10806559999999, 32.735687
"Bellflower city, California",76642,77089,77471,77805,78058,78441,-104.8319195, 39.7294319
"Bellingham city, Washington",80984,81549,82111,82528,83419,85146,-82.4571776, 27.950575
"Bend city, Oregon",76688,77621,78845,81280,84131,87014,-114.9817213, 36.0395247
"Berkeley city, California",112919,114093,115497,117204,119012,120972,-117.9145036, 33.8352932
"Berwyn city, Illinois",56683,56755,56820,56852,56715,56368,-84.5037164, 38.0405837
"Bethlehem city, Pennsylvania",75006,75077,75090,74933,75036,74892,-155.5827818, 19.8967662
"Billings city, Montana",104539,105603,107102,108953,108889,110263,-96.6851982, 40.8257625
"Birmingham city, Alabama",212026,211915,211217,211841,212082,212461,-74.1723667, 40.735657
"Bismarck city, North Dakota",61619,62788,64796,67117,68957,71167,-117.0841955, 32.6400541
"Blaine city, Minnesota",57398,58122,59332,60347,61170,62124,-97.39638099999999, 27.8005828
"Bloomington city, Illinois",76764,77149,77838,79054,78767,78292,-81.3792365, 28.5383355
"Bloomington city, Indiana",80632,81701,82223,82650,83452,84067,-117.3961564, 33.9533487
"Bloomington city, Minnesota",83041,83923,86046,86364,86317,86435,-84.5120196, 39.1031182
"Blue Springs city, Missouri",52689,52771,53032,53244,53587,54148,-90.78836040000002, 38.7809384
"Boca Raton city, Florida",85198,86612,87948,89786,91448,93235,-79.9958864, 40.44062479999999
"Boise City city, Idaho",206355,209267,212254,214177,216991,218281,-96.6988856, 33.0198431
"Bolingbrook village, Illinois",73489,73783,73969,73987,74145,74306,-79.7919754, 36.0726354
"Bonita Springs city, Florida",43937,44885,46181,47497,49230,51704,-119.0187125, 35.3732921
"Bossier City city, Louisiana",62002,63465,65441,66215,67189,68094,-149.9002778, 61.2180556
"Boston city, Massachusetts",620623,630286,642031,651710,660278,667137,-83.55521200000001, 41.6639383
"Boulder city, Colorado",98606,100914,102058,103722,105516,107349,-111.8412502, 33.3061605
"Bowie city, Maryland",55090,55710,56243,56873,57592,58025,-74.0776417, 40.72815749999999
"Bowling Green city, Kentucky",59098,59590,60503,61786,62549,63616,-93.0899578, 44.9537029
"Boynton Beach city, Florida",68368,68943,70196,71261,73163,73966,-121.2907796, 37.9577016
"Bradenton city, Florida",49346,49729,50430,51526,52770,54437,-118.2436849, 34.0522342
"Brentwood city, California",51829,52776,53601,55055,57031,58968,-84.3879824, 33.7489954
"Bridgeport city, Connecticut",144911,146244,147013,147844,147871,147629,-117.7946942, 33.6839473
"Bristol city, Connecticut",60487,60583,60598,60552,60528,60452,-78.898619, 35.9940329
"Brockton city, Massachusetts",93846,94115,94009,94368,94800,95314,-99.48032409999999, 27.5305671
"Broken Arrow city, Oklahoma",99259,100123,102113,103543,104817,106563,-76.28587259999999, 36.8507689
"Brookhaven city, Georgia",49330,49685,50345,50848,51298,51910,-80.2781057, 25.8575963
"Brooklyn Park city, Minnesota",75974,76895,77755,78409,78729,79149,-85.1393513, 41.079273
"Broomfield city, Colorado",56271,57445,58949,60163,61875,65065,-121.9885719, 37.5482697
"Brownsville city, Texas",175642,178525,180256,181648,183081,183887,-84.9877094, 32.4609764
"Bryan city, Texas",76526,77199,77870,79055,80833,82118,-91.1403196, 30.4582829
"Buckeye town, Arizona",51319,52492,54668,56980,59569,62138,-77.4360481, 37.5407246
"Buena Park city, California",80827,81701,82313,83090,83074,83270,-82.6267345, 27.7518284
"Buffalo city, New York",261220,260541,259947,259753,259259,258071,-84.28073289999999, 30.4382559
"Burbank city, California",103336,103901,104407,104870,105094,105319,-119.8138027, 39.5296329
"Burien city, Washington",48197,48774,49499,49952,50254,50467,-76.2874927, 36.7682088
"Burlington city, North Carolina",51058,51153,51340,51606,51922,52472,-117.2296717, 33.9424658
"Burnsville city, Minnesota",60412,60644,61105,61435,61580,61481,-111.789027, 33.3528264
