state,region
Alabama,2
Alaska,0
Arkansas,2
Arizona,0
California,0
Colorado,0
Connecticut,3
Delaware,2
Florida,2
Georgia,2
Hawaii,0
Iowa,1
Idaho,0
Illinois,1
Indiana,1
Kansas,1
Kentucky,2
Louisiana,2
Maine,3
Maryland,2
Massachusetts,3
Michigan,1
Minnesota,1
Missouri,1
Mississippi,2
Montana,0
North Carolina,2
North Dakota,1
Nebraska,1
New Hampshire,3
New Jersey,3
New Mexico,0
Nevada,0
New York,3
Ohio,1
Oklahoma,2
Oregon,0
Pennsylvania,3
Rhode Island,3
South Carolina,2
South Dakota,1
Tennessee,2
Texas,2
Utah,0
Virginia,2
Vermont,3
Washington,0
Wisconsin,1
West Virginia,2
Wyoming,0
